Experiment,LUT_data,LUT_entries,LUT_Hit,LUT_Acc,LUT_Prec,LUT_Recall,LUT_F1,DNN_Acc,DNN_Prec,DNN_Recall,DNN_F1,Train,Test,Pareto_80pct,Pareto_Top20
"Initial LUT (60% of 2M, 1.2M)",1.2M,71299,95.6%,95.59%,95.83%,95.59%,95.66%,99.99%,99.99%,99.99%,99.99%,600K,200K,240,95.0%
Expanded LUT (1.2M + 1M extra),2.2M,111336,96.4%,96.42%,96.55%,96.42%,96.45%,99.99%,99.99%,99.99%,99.99%,600K,200K,240,95.5%
