name,total,unique,cov_1,cov_5,cov_10,cov_20,is_pareto
ISCX_VPN,593836,64489,74.76929657346473,83.84486625937127,86.77833610626503,89.76097777837651,True
CTU-13,30000,2600,78.67,82.57333333333334,85.03333333333333,88.5,True
MAWI_MAWI_noIP,500000,112872,63.9564,74.4076,78.12780000000001,81.9406,True
MAWI_MAWI_svc,500000,27560,72.2634,86.882,90.3044,93.2988,True
MAWI_MAWI_5tuple,500000,221481,48.2008,56.3666,60.1336,64.5632,False
USTC_USTC_svc,110000,16293,53.809090909090905,72.76181818181819,82.48272727272727,86.97636363636364,True
USTC_USTC_srcSvc,110000,37631,37.54181818181818,60.873636363636365,66.7990909090909,72.63272727272727,False
USTC_USTC_portOnly,110000,36544,25.79727272727273,51.371818181818185,61.96454545454545,71.07545454545455,False
NSL-KDD,148517,21795,26.39226485856838,53.37974777298222,65.76418861140475,77.92979928223706,False
UNSW-NB15,257673,25696,28.7620356032646,49.293872466265384,61.08750237704377,76.99448525844772,False
CIC-IDS-2017,3461718,14289,62.054476996682,86.6146231437685,93.56024956394484,97.64293336430062,True
